name,coords,google id,restrooms,food,water,comfortable seating,frequent seating,can lie down,lawn,wheelchair access,smooth surfaces,navigable without stairs,views of nature,views of water,people watching,sun,shade,low vehicle traffic,low pedestrian traffic,quiet spaces,open space,private/enclosed spaces,movable tables/chairs,seating in groups
Starbucks,"-122.313383,47.65822",ChIJm2i9WPMUkFQRQ8B_XnsrsTc,y,y,y,n,y,n,n,y,n,y,n,n,y,y,y,n,n,y,y,n,y,y
Sizzle&Crunch Vietnamese Grill,"-122.3136459,47.6582075",ChIJ98C7oPQUkFQR-RlbvbijjIs,y,y,y,n,y,n,n,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y
Little Thai Restaurant,"-122.3138873,47.6582127",ChIJkQqon_QUkFQRrw8vixeqiVw,y,y,y,y,y,y,n,n,y,n,n,n,y,n,y,y,n,n,n,y,n,y
Boba Up,"-122.3134031,47.6580784",ChIJP56j_coVkFQRvYmtsrRIjfo,y,y,y,y,y,y,n,y,y,n,n,n,n,n,y,n,n,n,n,n,y,y
Jimmy John's,"-122.3134661,47.6580478",ChIJUZkrX_MUkFQRAPmNUl399FE,y,y,y,n,y,n,n,y,n,y: has elevator,n,n,y,y,y,n,n,n,y,n,y,y
Aladdin Gyro-Cery & Deli,"-122.3133667,47.6580049",ChIJdzZGWfMUkFQRFZ1X8DaZstc,y,y,y,y,y,y,n,y,y,y,n,n,y,n,y,n,n,n,y,n,y,y
Chicglet,"-122.3134971,47.6579363",ChIJ1Yc-YusVkFQRgAJq_1kubQM,y,y,y,n,y,n,n,y,n,y,n,n,y,y,y,n,n,n,n,y,y,y
Big Time Brewery & Alehouse,"-122.313492,47.657851",ChIJKaC2QvMUkFQRWVvn71SBmuY,y,y,y,y: nice wood chairs,y,y,n,y,y,y,n,n,y,y,y,n,n,n,y,n,y,y
the BoB,"-122.3135161,47.6577819",ChIJ7_EzXPMUkFQR64zEc7IZYOY,y,y,y,y,y,n,n,y,n,y,n,n,y,y,y,n,n,n,n,n,y,y
Pho Thy Thy,"-122.3135077,47.6577459",ChIJ7zt1XfMUkFQRJo9fW3MUC7I,y,y,y,n,y,n,n,y,y,y,n,n,y,y,y,n,n,n,n,y,y,y
University Teriyaki and Bakery,"-122.3129511,47.6571911",ChIJhUZ9avMUkFQRMrBooWA9Za8,y,y,y,y,y,y,n,y,n,y,n,n,y,y,y,n,n,n,y,n,y,y
Shultzy's Bar & Grill,"-122.3129689,47.657288",ChIJG_j0afMUkFQROPWTaerWo9E,y,y,y,n,y,y,n,y,y,y,n,n,y,y,y,n,n,n,n,y,y,y
Cafe Solstice,"-122.31296,47.657407",ChIJaZE6QvMUkFQRXCfaq6_QnBE,y,y,y,y,y,n,n,y,y,y,n,n,y,y,y,n,n,y,y,y,y,y
DupBop Asian Fusion,"-122.3131447,47.6575564",ChIJfaVRNqMVkFQRHDeifp9uxKU,y,y,y,y,y,y,n,n: narrow entrance,n,n: 3 steps up to door,n,n,y,y,y,y,n,n,y,y,y,y
Samurai Noodle,"-122.3130778,47.657989",ChIJxfk6WvMUkFQRQDavEWstOH4,y,y,y,n,y,n,n,y,y,y,n,n,y,y,y,n,n,n,y,n,y,y
Burger and Kabob Hut,"-122.313059,47.658166",ChIJv2ZXWPMUkFQRsz63otFDc6Q,n,y,y,n,y,n,n,y,n,y,n,n,y,y,y,n,n,n,n,n,y,y
Moana Poke Shop,"-122.313014,47.658208",ChIJMbMvWPMUkFQR2fGAZHEKZvM,y,y,y,y,y,"y: a few booths, casual atmosphere",n,y,n,y,n,n,y,y,y,n,n,y,n,y,n,y
Orange King,"-122.312767,47.658204",ChIJa4GnV_MUkFQRnwQUlOvuAYU,y,y,y,n,y,n,n,y,y,y,n,n,y,y,y,y,n,n,n,n,y,y
Magus Books,"-122.312699,47.658436",ChIJhz4ZVvMUkFQRyGev1ogtqXs,n,n,n,n,n,n,n,n: narrow aisles with stepstools and boxes in the way,y,y,n,n,y,n,y,y,n,y,n,y,y,n
Professional Copy 'n' Print,"-122.3129887,47.6584485",ChIJVVVVVVEUkFQRAKt8KH39nUY,n,n,n,y,n,n,n,y: mostly; there is one small raised area with a step up,n,y,n,n,n,y,y,n,n,y,y,n,n,n
Bulldog News,"-122.3130705,47.6585451",ChIJf99kqPQUkFQR18QQrQUcR6g,n,y,y,y,n,n,n,y,n,y,n,n,y,y,y,n,n,n,y,n,n,y
The Block,"-122.3129045,47.658789",ChIJR8U737UVkFQRQLPZ4vydm40,y,y,y,n,y,n,n,y,n,y,n,n,n,n,y,n,n,n,n,n,y,y
Jai Thai on the Ave,"-122.3128628,47.6587803",ChIJlb0bvasVkFQRQx_HWLAYGHY,y,y,y,y,y,n,n,y,y,y,n,n,n,n,y,n,n,n,n,n,y,y
