name,coords,restrooms,food,water,comfortable seating,frequent seating,can lie down or recline,quiet spaces,temperature regulation,no chemical scents,views of nature,people watching,sun,shade,low traffic,open space,private or enclosed spaces,movable tables and chairs,wheelchair access,smooth surfaces,hill or stairs,obvious obstacles
Starbucks,"-122.313383,47.65822",y,y,y,n,y,n,y,y,n,n,y,y,y,n,y,n,y,y,n,n,n
Sizzle&Crunch Vietnamese Grill,"-122.3136459,47.6582075",y,y,y,n,y,n,n,y,y,n,y,y,y,y,n,n,n,y,y,n,n
Little Thai Restaurant,"-122.3138873,47.6582127",y,y,y,y,y,y,n,y,y,n,y,n,y,y,n,y,n,n,y,y,n
Boba Up,"-122.3134031,47.6580784",y,y,y,y,y,y,n,y,y,n,n,n,y,n,n,n,y,y,y,y,n
Jimmy John's,"-122.3134661,47.6580478",y,y,y,n,y,n,n,y,n,n,y,y,y,n,y,n,y,y,n,y,n
Aladdin Gyro-Cery & Deli,"-122.3133667,47.6580049",y,y,y,y,y,y,n,y,y,n,y,n,y,n,y,n,y,y,y,n,n
Chicglet,"-122.3134971,47.6579363",y,y,y,n,y,n,n,y,n,n,y,y,y,n,n,y,y,y,n,n,n
Big Time Brewery & Alehouse,"-122.313492,47.657851",y,y,y,y: nice wood chairs,y,y,n,y,y,n,y,y,y,n,y,n,y,y,y,n,n
the BoB,"-122.3135161,47.6577819",y,y,y,y,y,n,n,y,y,n,y,y,y,n,n,n,y,y,n,y:little hill,n
Pho Thy Thy,"-122.3135077,47.6577459",y,y,y,n,y,n,n,y,n,n,y,y,y,n,n,y,y,y,y,y,n
University Teriyaki and Bakery,"-122.3129511,47.6571911",y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,n,y,y,n,n,n
Shultzy's Bar & Grill,"-122.3129689,47.657288",y,y,y,n,y,y,n,y,y,n,y,y,y,n,n,y,y,y,y,n,n
Cafe Solstice,"-122.31296,47.657407",y,y,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,y,y,n,n
DupBop Asian Fusion,"-122.3131447,47.6575564",y,y,y,y,y,y,n,y,y,n,y,y,y,y,y,y,y,n,n,y: 3 stairs,y: narrow entrance
Samurai Noodle,"-122.3130778,47.657989",y,y,y,n,y,n,n,y,n,n,y,y,y,n,y,n,y,y,y,n,n
Burger and Kabob Hut,"-122.313059,47.658166",n,y,y,n,y,n,n,y,n,n,y,y,y,n,n,n,y,y,n,y: small hill,n
Moana Poke Shop,"-122.313014,47.658208",y,y,y,y,y,"y: a few booths, casual atmosphere",y,y,y,n,y,y,y,n,n,y,n,y,n,n,n
Orange King,"-122.312767,47.658204",y,y,y,n,y,n,n,y,y,n,y,y,y,y,n,n,y,y,y,n,n
